"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"1954",2021,"500302",66,NA,NA,0.287878787878788,NA,0.53030303030303,0.287878787878788,0.46969696969697,NA,NA,0.696969696969697,NA,0.712121212121212,0.893939393939394
"1955",2021,"500323",96,NA,NA,0.1875,NA,0.614583333333333,NA,0.385416666666667,NA,NA,0.78125,NA,0.8125,1
"1956",2021,"500324",39,NA,NA,0.461538461538462,NA,0.358974358974359,NA,0.641025641025641,NA,0.435897435897436,0.82051282051282,NA,0.538461538461538,0.564102564102564
"1957",2021,"500340",672,0.0193452380952381,NA,0.294642857142857,0.0639880952380952,0.494047619047619,0.175595238095238,0.505952380952381,0.0342261904761905,0.126488095238095,0.71577380952381,0.0446428571428571,0.705357142857143,0.873511904761905
"1958",2021,"500LEA",873,0.0183276059564719,NA,0.289805269186713,0.0572737686139748,0.504009163802978,0.167239404352806,0.495990836197022,0.0355097365406644,0.124856815578465,0.7262313860252,0.0435280641466208,0.710194730813288,0.875143184421535
"1959",2021,"50A000",48,NA,NA,0.208333333333333,NA,0.541666666666667,0.229166666666667,0.458333333333333,NA,0.208333333333333,0.729166666666667,NA,0.791666666666667,0.791666666666667
"1960",2021,"510324",1766,0.0141562853907135,0.251415628539071,0.262740656851642,0.0583238958097395,0.485277463193658,0.235560588901472,0.514722536806342,0.0436013590033975,0.164779161947905,0.449037372593431,NA,0.737259343148358,0.835220838052095
"1961",2021,"510325",119,NA,0.126050420168067,0.361344537815126,NA,0.554621848739496,0.453781512605042,0.445378151260504,NA,NA,0.411764705882353,NA,0.638655462184874,0.932773109243697
"1962",2021,"510327",1612,0.00930521091811414,0.178039702233251,0.23014888337469,0.032258064516129,0.475806451612903,0.19106699751861,0.524193548387097,0.0465260545905707,0.143920595533499,0.570099255583127,NA,0.76985111662531,0.856079404466501
"1963",2021,"510333",1943,0.00977869274318065,0.133299022130726,0.19197117858981,0.0329387545033453,0.477097272259393,0.186824498198662,0.522902727740607,0.0437467833247555,0.11322696860525,0.621718991250643,NA,0.80802882141019,0.88677303139475
